city,上海,南京,无锡,常州,苏州,南通,扬州,镇江,泰州,杭州,宁波,嘉兴,湖州,绍兴,金华,台州,合肥,芜湖,马鞍山
上海,0.0,270.033960767,114.224233887,156.288525916,85.0058714664,99.7003292255,233.957786442,221.371807171,200.02449727,164.892978694,152.60849027,87.0892430911,137.508193872,158.205536919,296.293394019,285.373556725,408.555690741,289.801103366,286.193645326
南京,270.033960767,0.0,156.749741436,114.699090057,189.241864665,198.371171989,69.0139743147,61.0292691213,114.923375366,236.619311706,363.87331167,236.39453201,178.057743063,282.047153337,340.220935338,453.733900598,150.710776759,85.5253568086,51.1463660629
无锡,114.224233887,156.749741436,0.0,47.761394994,33.4399366703,77.3317783529,131.376294822,114.163951606,113.093446028,135.926823654,220.280820477,92.8167369353,69.6292220428,163.993720607,274.934100771,331.954571482,294.856177927,179.3314647,172.534296273
常州,156.288525916,114.699090057,47.761394994,0.0,80.9700462402,89.0635054644,83.6608768651,66.7180620067,71.7183219667,171.361776225,267.751982933,139.514306355,102.176911163,205.68561558,304.39706113,376.367634747,260.071107419,154.825168049,139.939453754
苏州,85.0058714664,189.241864665,33.4399366703,80.9700462402,0.0,80.848807945,164.343836514,147.548244583,142.554761254,121.153490061,188.316783116,63.6275872325,65.5187391446,140.853512192,262.289043223,304.057497845,323.926308868,204.872083923,201.655704171
南通,99.7003292255,198.371171989,77.3317783529,89.0635054644,80.848807945,0.0,147.051942051,140.628678745,105.659117974,201.990328241,245.229571503,137.474292861,142.821296869,218.256965241,343.131252222,371.960224643,347.319830666,243.547675852,228.662466853
扬州,233.957786442,69.0139743147,131.376294822,83.6608768651,164.343836514,147.051942051,0.0,22.8507302006,48.4583689414,245.628235265,351.348279215,222.818043486,178.225421836,284.734737635,368.218805554,457.008613632,215.878148477,148.124450649,117.45255913
镇江,221.371807171,61.0292691213,114.163951606,66.7180620067,147.548244583,140.628678745,22.8507302006,0.0,55.4724432874,223.532612418,332.797199968,203.892412993,156.701988526,263.445764082,345.369967486,436.002256927,211.625344815,131.986051167,104.20343511
泰州,200.02449727,114.923375366,113.093446028,71.7183219667,142.554761254,105.659117974,48.4583689414,55.4724432874,0.0,243.048902515,330.373638554,205.372033935,173.863763924,276.104753179,375.260685516,445.047628381,263.915472968,186.610384424,159.671459637
杭州,164.892978694,236.619311706,135.926823654,171.361776225,121.153490061,201.990328241,245.628235265,223.532612418,243.048902515,0.0,148.827217442,77.9020842687,69.1864310627,48.9384583789,141.142064129,217.174396482,327.978932836,203.705715034,220.883140406
宁波,152.60849027,363.87331167,220.280820477,267.751982933,188.316783116,245.229571503,351.348279215,332.797199968,330.373638554,148.827217442,0.0,128.987210305,187.043454637,102.558540733,210.34873405,134.865721911,473.42227303,347.874153033,359.612448701
嘉兴,87.0892430911,236.39453201,92.8167369353,139.514306355,63.6275872325,137.474292861,222.818043486,203.892412993,205.372033935,77.9020842687,128.987210305,0.0,66.0560118492,81.1171890575,213.508360762,240.436114128,356.435041398,231.65030703,237.502298651
湖州,137.508193872,178.057743063,69.6292220428,102.176911163,65.5187391446,142.821296869,178.225421836,156.701988526,173.863763924,69.1864310627,187.043454637,66.0560118492,0.0,106.829746649,205.58170699,279.587638562,290.806026713,165.714444844,173.292799503
绍兴,158.205536919,282.047153337,163.993720607,205.68561558,140.853512192,218.256965241,284.734737635,263.445764082,276.104753179,48.9384583789,102.558540733,81.1171890575,106.829746649,0.0,138.861464017,172.806101911,376.911972196,252.581751955,268.985283253
金华,296.293394019,340.220935338,274.934100771,304.39706113,262.289043223,343.131252222,368.218805554,345.369967486,375.260685516,141.142064129,210.34873405,213.508360762,205.58170699,138.861464017,0.0,179.238894246,382.568592464,277.795408599,307.348405427
台州,285.373556725,453.733900598,331.954571482,376.367634747,304.057497845,371.960224643,457.008613632,436.002256927,445.047628381,217.174396482,134.865721911,240.436114128,279.587638562,172.806101911,179.238894246,0.0,534.666520561,415.198962607,436.267737854
合肥,408.555690741,150.710776759,294.856177927,260.071107419,323.926308868,347.319830666,215.878148477,211.625344815,263.915472968,327.978932836,473.42227303,356.435041398,290.806026713,376.911972196,382.568592464,534.666520561,0.0,125.665391553,122.370649387
芜湖,289.801103366,85.5253568086,179.3314647,154.825168049,204.872083923,243.547675852,148.124450649,131.986051167,186.610384424,203.705715034,347.874153033,231.65030703,165.714444844,252.581751955,277.795408599,415.198962607,125.665391553,0.0,35.8056407145
马鞍山,286.193645326,51.1463660629,172.534296273,139.939453754,201.655704171,228.662466853,117.45255913,104.20343511,159.671459637,220.883140406,359.612448701,237.502298651,173.292799503,268.985283253,307.348405427,436.267737854,122.370649387,35.8056407145,0.0
